Regulator (TF or sigma);Target gene;mode of regulation;Ortholog of the target gene
cdhR (PSPA7_RS29445);cdhC;?;PSPA7_RS29435 (PSPA7_6173)
bqsR (PA2657);phnA;+;phnA
bqsR (PA2657);pqsA;+;pqsA
bqsR (PA2657);rhlA;+;rhlA
bqsR (PA2657);rhlB;+;rhlB
bqsS (PA2656);phnA;+;phnA
bqsS (PA2656);pqsA;+;pqsA
bqsS (PA2656);rhlA;+;rhlA
bqsS (PA2656);rhlB;+;rhlB
gbdR (PSPA7_RS29400);soxB;?;soxB
gbdR (PSPA7_RS29400);soxA;?;soxA
gbdR (PSPA7_RS29400);soxG;?;soxG
gbdR (PSPA7_RS29400);dgcA;?;PSPA7_RS29490 (PSPA7_6185)
gbdR (PSPA7_RS29400);gbcA;?;PSPA7_RS29550 (PSPA7_6197)
rpoD (AL347_20760);PA3835;+;PA3835
acoR (AL347_21955);PA4148;+;PA4148
acoR (AL347_21955);acoX;+;acoX
acoR (AL347_21955);acoA;+;acoA
acoR (AL347_21955);acoB;+;acoB
acoR (AL347_21955);acoC;+;acoC
acoR (AL347_21955);PA4153;+;PA4153
agmR (AL347_02720);exaA;+;exaA
agmR (AL347_02720);exaB;+;exaB
agmR (AL347_02720);exaC;+;exaC
agmR (AL347_02720);pqqA;+;pqqA
agmR (AL347_02720);pqqB;+;pqqB
agmR (AL347_02720);pqqC;+;pqqC
agmR (AL347_02720);pqqD;+;pqqD
agmR (AL347_02720);pqqE;+;pqqE
agmR (AL347_02720);pqqH;+;pqqH
agtR (AL347_20885);agtA;+;agtA
agtR (AL347_20885);agtB;+;agtB
agtR (AL347_20885);agtC;+;agtC
agtR (AL347_20885);agtD;+;agtD
aguR (AL347_19255);aguA;-;aguA
aguR (AL347_19255);aguB;-;aguB
algB (AL347_17235);algD;+;algD
algD (AL347_25110);algD;?;algD
algQ (AL347_16020);lasR;-;lasR
algQ (AL347_16020);rhlR;-;rhlR
algQ (AL347_16020);rpoD;-;rpoD
algR (AL347_16050);PA0328;+;PA0328 (aaaA)
algR (AL347_16050);ldcA;+;ldcA
algR (AL347_16050);PA1819;+;PA1819
algR (AL347_16050);braZ;+;braZ
algR (AL347_16050);PA2042;+;PA2042
algR (AL347_16050);rhlB;-;rhlB
algR (AL347_16050);argG;-;argG
algR (AL347_16050);alg8;+;alg8
algR (AL347_16050);alg44;+;alg44
algR (AL347_16050);algK;+;algK
algR (AL347_16050);algE;+;algE
algR (AL347_16050);algG;+;algG
algR (AL347_16050);algX;+;algX
algR (AL347_16050);algL;+;algL
algR (AL347_16050);algI;+;algI
algR (AL347_16050);algJ;+;algJ
algR (AL347_16050);algF;+;algF
algR (AL347_16050);algA;+;algA
algR (AL347_16050);PA3934;+;PA3934
algR (AL347_16050);gdhA;-;gdhA
algR (AL347_16050);PA5152;+;PA5152
algR (AL347_16050);PA5153;+;PA5153
algR (AL347_16050);argB;+;argB
algR (AL347_16050);algR;+;algR
algR (AL347_16050);algZ;-;algZ
algR (AL347_16050);hcnA;-;hcnA
algR (AL347_16050);lipA;-;lipA
algR (AL347_16050);fimU;+;fimU
algR (AL347_16050);pilV;+;pilV
algR (AL347_16050);pilW;+;pilW
algR (AL347_16050);pilX;+;pilX
algR (AL347_16050);arcD;+;arcD
algR (AL347_16050);arcA;+;arcA
algR (AL347_16050);arcB;+;arcB
algR (AL347_16050);arcC;+;arcC
algR (AL347_16050);exsA;+;exsA
algR (AL347_16050);mucR;+;mucR
algR (AL347_16050);rsmA;+;rsmA
algR (AL347_16050);czcR;+;czcR
algR (AL347_16050);rhlI;-;rhlI
algR (AL347_16050);rhlA;-;rhlA
algR (AL347_16050);nrdB;+;nrdB
algR (AL347_16050);nrdA;+;nrdA
algR (AL347_16050);sigX;?;sigX
algR (AL347_16050);femI;?;femI
algR (AL347_16050);dnaA;?;dnaA
algR (AL347_16050);PA0277;?;PA0277
algR (AL347_16050);PA0456;?;PA0456
algR (AL347_16050);phdA;?;phdA
algR (AL347_16050);PA0703;?;PA0703
algR (AL347_16050);cat;?;cat
algR (AL347_16050);putP;?;putP
